	PD15		ND15		PD30		ND30		PD60		ND60		PD120		ND120		PD240		ND240	
12.3846	0.0145	0.0094	-0.0170	0.0036																
12.4615	0.0121	0.0087	-0.0140	0.0048																
12.5385	0.0194	0.0083	-0.0180	0.0040																
12.6154	0.0185	0.0088	-0.0157	0.0045																
12.6923	0.0181	0.0085	-0.0172	0.0034																
12.7692	0.0174	0.0105	-0.0198	0.0040																
12.8462	0.0240	0.0088	-0.0169	0.0050																
12.9231	0.0196	0.0089	-0.0087	0.0044																
13.0000	0.0195	0.0081	-0.0157	0.0048																
13.0769	0.0222	0.0085	-0.0183	0.0057																
13.1538	0.0182	0.0105	-0.0126	0.0030																
13.2308	0.0208	0.0102	-0.0128	0.0046																
13.3077	0.0211	0.0110	-0.0125	0.0050																
13.3846	0.0233	0.0096	-0.0169	0.0033																
13.4615	0.0229	0.0093	-0.0141	0.0035																
13.5385	0.0265	0.0095	-0.0187	0.0031																
13.6154	0.0268	0.0079	-0.0158	0.0052																
13.6923	0.0266	0.0090	-0.0140	0.0046																
13.7692	0.0270	0.0088	-0.0111	0.0048																
13.8462	0.0249	0.0097	-0.0078	0.0039																
13.9231	0.0212	0.0103	-0.0067	0.0039																
14.0000	0.0255	0.0092	-0.0153	0.0036																
14.0769	0.0247	0.0081	-0.0105	0.0045																
14.1538	0.0236	0.0089	-0.0127	0.0043																
14.2308	0.0238	0.0085	-0.0123	0.0052																
14.3077	0.0290	0.0101	-0.0102	0.0038																
14.3846	0.0257	0.0082	-0.0105	0.0031																
14.4615	0.0220	0.0082	-0.0119	0.0041																
14.5385	0.0223	0.0078	-0.0095	0.0046																
14.6154	0.0234	0.0097	-0.0127	0.0041																
14.6923	0.0237	0.0093	-0.0132	0.0046																
14.7692	0.0214	0.0089	-0.0096	0.0042																
14.8462	0.0204	0.0089	-0.0107	0.0054																
14.9231	0.0232	0.0076	-0.0098	0.0030																
15.0000	0.0139	0.0064	-0.0075	0.0054																
15.0769	0.0143	0.0063	-0.0119	0.0048																
15.1538	0.0136	0.0055	-0.0102	0.0058																
15.2308	0.0183	0.0061	-0.0131	0.0047																
15.3077	0.0145	0.0067	-0.0093	0.0037																
15.3846	0.0139	0.0070	-0.0128	0.0048																
15.4615	0.0111	0.0065	-0.0103	0.0036																
15.5385	0.0153	0.0063	-0.0062	0.0038																
15.6154	0.0052	0.0070	-0.0043	0.0057																
15.6923	0.0144	0.0071	-0.0053	0.0048																
15.7692	0.0109	0.0071	-0.0037	0.0046																
15.8462	0.0145	0.0066	-0.0074	0.0034																
15.9231	0.0084	0.0055	-0.0083	0.0039																
16.0000	0.0053	0.0049	-0.0055	0.0040																
16.0769	0.0063	0.0048	-0.0045	0.0043																
16.1538	0.0050	0.0057	-0.0020	0.0033																
16.2308																				
16.3077																				
16.3846																				
16.4615																				
16.5385																				
16.6154																				
16.6923																				
16.7692																				
